example_id                                      | status  | run_time        |
----------------------------------------------- | ------- | --------------- |
./spec/helpers/home_helper_spec.rb[1:1]         | pending | 0.00001 seconds |
./spec/models/comment_spec.rb[1:1]              | passed  | 0.00038 seconds |
./spec/models/comment_spec.rb[1:2]              | passed  | 0.00157 seconds |
./spec/models/like_spec.rb[1:1]                 | passed  | 0.00324 seconds |
./spec/models/post_spec.rb[1:1]                 | passed  | 0.00232 seconds |
./spec/models/post_spec.rb[1:2]                 | passed  | 0.00049 seconds |
./spec/models/post_spec.rb[1:3]                 | passed  | 0.00054 seconds |
./spec/models/post_spec.rb[1:4]                 | passed  | 0.00043 seconds |
./spec/models/post_spec.rb[1:5]                 | passed  | 0.00079 seconds |
./spec/models/post_spec.rb[1:6]                 | passed  | 0.00048 seconds |
./spec/models/post_spec.rb[1:7]                 | passed  | 0.00061 seconds |
./spec/models/post_spec.rb[1:8]                 | passed  | 0.00047 seconds |
./spec/models/user_spec.rb[1:1]                 | passed  | 0.00047 seconds |
./spec/models/user_spec.rb[1:2]                 | passed  | 0.00074 seconds |
./spec/models/user_spec.rb[1:3]                 | passed  | 0.00067 seconds |
./spec/models/user_spec.rb[1:4]                 | passed  | 0.00044 seconds |
./spec/requests/api/comments_spec.rb[1:1:1:1:1] | failed  | 0.00396 seconds |
./spec/requests/api/comments_spec.rb[1:1:2:1:1] | failed  | 0.00434 seconds |
./spec/requests/api/comments_spec.rb[1:2:1:1:1] | failed  | 0.00102 seconds |
./spec/requests/api/comments_spec.rb[1:3:1:1:1] | failed  | 0.00092 seconds |
./spec/requests/api/comments_spec.rb[1:4:1:1:1] | failed  | 0.00102 seconds |
./spec/requests/api/comments_spec.rb[1:4:2:1:1] | failed  | 0.00099 seconds |
./spec/requests/api/comments_spec.rb[1:4:3:1:1] | failed  | 0.00077 seconds |
./spec/requests/api/comments_spec.rb[1:4:4:1:1] | failed  | 0.00219 seconds |
./spec/requests/api/posts_spec.rb[1:1:1:1:1]    | failed  | 0.00498 seconds |
./spec/requests/api/posts_spec.rb[1:1:2:1:1]    | failed  | 0.00279 seconds |
./spec/requests/api/posts_spec.rb[1:2:1:1:1]    | failed  | 0.00256 seconds |
./spec/requests/api/posts_spec.rb[1:3:1:1:1]    | failed  | 0.00085 seconds |
./spec/requests/api/posts_spec.rb[1:4:1:1:1]    | failed  | 0.00122 seconds |
./spec/requests/api/posts_spec.rb[1:4:2:1:1]    | failed  | 0.00086 seconds |
./spec/requests/api/posts_spec.rb[1:4:3:1:1]    | failed  | 0.00076 seconds |
./spec/requests/api/posts_spec.rb[1:4:4:1:1]    | failed  | 0.0008 seconds  |
./spec/requests/api/users_spec.rb[1:1:1:1:1]    | failed  | 0.00617 seconds |
